Detailed Statistics Airborne Time  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Origin Airport,Destination Airport,Airborne Time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2023","1667","N123NN","SEA","DFW","207","0","0","0","0","0"
"AA","01/01/2023","1992","N146AA","SEA","DFW","202","2","0","0","0","73"
"AA","01/01/2023","2748","N434AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/01/2023","2767","N992AU","SEA","DFW","202","0","0","0","0","0"
"AA","01/01/2023","2769","N910AU","SEA","DFW","209","0","0","0","0","0"
"AA","01/02/2023","0742","N135NN","SEA","DFW","196","23","0","0","0","0"
"AA","01/02/2023","1470","N934AA","SEA","DFW","214","0","0","0","0","0"
"AA","01/02/2023","1667","N909AM","SEA","DFW","215","0","0","32","0","0"
"AA","01/02/2023","1992","N158AN","SEA","DFW","204","0","0","0","0","0"
"AA","01/02/2023","2748","N447AN","SEA","DFW","214","0","0","32","0","0"
"AA","01/02/2023","2767","N910AU","SEA","DFW","213","0","0","0","0","0"
"AA","01/02/2023","2769","N908AA","SEA","DFW","205","0","0","0","0","0"
"AA","01/03/2023","1470","N902AA","SEA","DFW","211","15","0","1","0","0"
"AA","01/03/2023","1667","N931AM","SEA","DFW","201","40","0","0","0","0"
"AA","01/03/2023","1992","N125AA","SEA","DFW","205","0","0","0","0","0"
"AA","01/03/2023","2748","N458AL","SEA","DFW","202","136","0","0","0","0"
"AA","01/03/2023","2767","N543UW","SEA","DFW","206","0","0","19","0","0"
"AA","01/03/2023","2769","N147AA","SEA","DFW","204","0","0","0","0","0"
"AA","01/04/2023","1470","N149AN","SEA","DFW","182","0","0","0","0","281"
"AA","01/04/2023","1667","N994AN","SEA","DFW","184","0","0","0","0","0"
"AA","01/04/2023","1992","N989AU","SEA","DFW","183","0","0","0","0","0"
"AA","01/04/2023","2748","N405AN","SEA","DFW","189","0","0","0","0","0"
"AA","01/04/2023","2767","N586UW","SEA","DFW","192","0","0","0","0","0"
"AA","01/04/2023","2769","N130AN","SEA","DFW","186","0","0","0","0","0"
"AA","01/05/2023","1470","N162AA","SEA","DFW","203","0","0","0","0","0"
"AA","01/05/2023","1667","N122NN","SEA","DFW","203","0","0","0","0","0"
"AA","01/05/2023","2748","N456AN","SEA","DFW","198","0","0","0","0","0"
"AA","01/05/2023","2767","N165NN","SEA","DFW","205","0","0","24","0","0"
"AA","01/05/2023","2769","N139AN","SEA","DFW","201","0","0","0","0","0"
"AA","01/06/2023","1470","N150NN","SEA","DFW","193","0","0","0","0","0"
"AA","01/06/2023","1667","N908AA","SEA","DFW","193","0","0","0","0","0"
"AA","01/06/2023","2748","N402AN","SEA","DFW","194","0","0","0","0","0"
"AA","01/06/2023","2767","N118NN","SEA","DFW","195","0","0","0","0","232"
"AA","01/06/2023","2769","N124AA","SEA","DFW","196","0","0","0","0","0"
"AA","01/07/2023","1470","N125AA","SEA","DFW","199","0","0","0","0","0"
"AA","01/07/2023","1667","N991AU","SEA","DFW","199","0","0","0","0","0"
"AA","01/07/2023","1992","N119NN","SEA","DFW","205","0","0","0","0","0"
"AA","01/07/2023","2748","N461AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/07/2023","2767","N190UW","SEA","DFW","199","0","0","0","0","0"
"AA","01/07/2023","2769","N120EE","SEA","DFW","204","0","0","0","0","0"
"AA","01/08/2023","1470","N126AN","SEA","DFW","213","0","0","0","0","0"
"AA","01/08/2023","1667","N148AN","SEA","DFW","207","0","0","0","0","0"
"AA","01/08/2023","1992","N133AN","SEA","DFW","209","0","0","0","0","0"
"AA","01/08/2023","2748","N415AN","SEA","DFW","211","0","0","24","0","0"
"AA","01/08/2023","2767","N120EE","SEA","DFW","210","0","0","0","0","0"
"AA","01/08/2023","2769","N991AU","SEA","DFW","211","0","0","0","0","0"
"AA","01/09/2023","1470","N162AA","SEA","DFW","186","0","0","0","0","0"
"AA","01/09/2023","1667","N128AN","SEA","DFW","188","28","0","7","0","0"
"AA","01/09/2023","1992","N903AA","SEA","DFW","196","0","0","0","0","0"
"AA","01/09/2023","2748","N453AA","SEA","DFW","187","0","0","0","0","0"
"AA","01/09/2023","2767","N124AA","SEA","DFW","194","0","0","0","0","0"
"AA","01/09/2023","2769","N165NN","SEA","DFW","190","0","0","0","0","0"
"AA","01/10/2023","1470","N146AA","SEA","DFW","196","0","0","0","0","0"
"AA","01/10/2023","1667","N160AN","SEA","DFW","196","0","0","0","0","0"
"AA","01/10/2023","2767","N971UY","SEA","DFW","201","0","0","0","0","0"
"AA","01/10/2023","2769","N154AA","SEA","DFW","203","0","0","22","0","0"
"AA","01/11/2023","1470","N123NN","SEA","DFW","183","0","0","66","0","0"
"AA","01/11/2023","1667","N997AA","SEA","DFW","193","0","0","34","0","0"
"AA","01/11/2023","2748","N464AA","SEA","DFW","186","0","0","64","0","0"
"AA","01/11/2023","2767","N567UW","SEA","DFW","185","0","0","0","0","130"
"AA","01/11/2023","2769","N144AN","SEA","DFW","177","0","0","0","0","61"
"AA","01/12/2023","1470","N906AA","SEA","DFW","193","0","0","0","0","0"
"AA","01/12/2023","1667","N990AU","SEA","DFW","188","0","0","0","0","0"
"AA","01/12/2023","1992","N123NN","SEA","DFW","209","0","0","0","0","0"
"AA","01/12/2023","2748","N459AN","SEA","DFW","186","0","0","0","0","0"
"AA","01/12/2023","2767","N584UW","SEA","DFW","202","0","0","0","0","0"
"AA","01/12/2023","2769","N133AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/13/2023","1470","N124AA","SEA","DFW","201","0","0","0","0","0"
"AA","01/13/2023","1667","N164NN","SEA","DFW","204","0","0","0","0","0"
"AA","01/13/2023","1992","N933AM","SEA","DFW","197","0","0","0","0","19"
"AA","01/13/2023","2748","N441UW","SEA","DFW","197","0","0","0","0","0"
"AA","01/13/2023","2767","N185UW","SEA","DFW","204","0","0","0","0","0"
"AA","01/13/2023","2769","N990AU","SEA","DFW","206","1","0","9","0","6"
"AA","01/14/2023","1470","N989AU","SEA","DFW","202","0","0","0","0","0"
"AA","01/14/2023","1667","N990AU","SEA","DFW","214","0","0","0","0","0"
"AA","01/14/2023","2748","N411AN","SEA","DFW","196","0","0","0","0","0"
"AA","01/14/2023","2767","N524UW","SEA","DFW","214","4","0","18","0","7"
"AA","01/15/2023","1470","N149AN","SEA","DFW","198","0","0","0","0","0"
"AA","01/15/2023","1667","N140AN","SEA","DFW","199","0","0","0","0","0"
"AA","01/15/2023","1992","N155NN","SEA","DFW","197","0","0","0","0","0"
"AA","01/15/2023","2748","N457AM","SEA","DFW","210","0","0","0","0","0"
"AA","01/15/2023","2767","N128AN","SEA","DFW","200","0","0","0","0","0"
"AA","01/15/2023","2769","N902AA","SEA","DFW","195","0","0","0","0","0"
"AA","01/16/2023","1470","N140AN","SEA","DFW","193","0","0","0","0","0"
"AA","01/16/2023","1667","N121AN","SEA","DFW","188","0","0","0","0","0"
"AA","01/16/2023","2748","N415AN","SEA","DFW","194","0","0","0","0","0"
"AA","01/16/2023","2767","N199UW","SEA","DFW","194","0","0","0","0","0"
"AA","01/16/2023","2769","N153AN","SEA","DFW","191","0","0","0","0","0"
"AA","01/17/2023","1470","N125AA","SEA","DFW","197","0","0","0","0","0"
"AA","01/17/2023","1667","N129AA","SEA","DFW","197","0","0","0","0","0"
"AA","01/17/2023","2748","N452AN","SEA","DFW","198","0","0","0","0","0"
"AA","01/17/2023","2767","N173US","SEA","DFW","200","0","0","0","0","0"
"AA","01/17/2023","2769","N126AN","SEA","DFW","201","0","0","0","0","0"
"AA","01/18/2023","1470","N988AL","SEA","DFW","200","0","0","0","0","0"
"AA","01/18/2023","1667","N907AA","SEA","DFW","199","0","0","0","0","0"
"AA","01/18/2023","2748","N417AN","SEA","DFW","200","0","0","0","0","0"
"AA","01/18/2023","2767","N196UW","SEA","DFW","207","0","0","0","0","0"
"AA","01/18/2023","2769","N992AU","SEA","DFW","195","0","0","0","0","0"
"AA","01/19/2023","1470","N934AA","SEA","DFW","196","180","0","4","0","0"
"AA","01/19/2023","1667","N990AU","SEA","DFW","198","1387","0","0","0","0"
"AA","01/19/2023","1992","N122NN","SEA","DFW","196","0","0","0","0","0"
"AA","01/19/2023","2748","N419AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/19/2023","2767","N581UW","SEA","DFW","197","0","0","47","0","0"
"AA","01/19/2023","2769","N145AN","SEA","DFW","198","0","0","0","0","0"
"AA","01/20/2023","1470","N987AM","SEA","DFW","198","0","0","0","0","0"
"AA","01/20/2023","1667","N145AN","SEA","DFW","201","0","0","0","0","0"
"AA","01/20/2023","1992","N123NN","SEA","DFW","199","0","0","0","0","98"
"AA","01/20/2023","2748","N413AN","SEA","DFW","201","0","0","0","0","0"
"AA","01/20/2023","2767","N973UY","SEA","DFW","199","0","0","0","0","0"
"AA","01/20/2023","2769","N130AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/21/2023","1470","N147AA","SEA","DFW","198","0","0","0","0","0"
"AA","01/21/2023","1667","N130AN","SEA","DFW","194","0","0","0","0","0"
"AA","01/21/2023","2748","N457AM","SEA","DFW","199","0","0","0","0","0"
"AA","01/21/2023","2767","N191UW","SEA","DFW","204","0","0","52","0","0"
"AA","01/21/2023","2769","N903AA","SEA","DFW","199","0","0","0","0","0"
"AA","01/22/2023","1470","N907AA","SEA","DFW","197","0","0","0","0","0"
"AA","01/22/2023","1667","N160AN","SEA","DFW","198","2","0","13","0","0"
"AA","01/22/2023","1992","N147AA","SEA","DFW","194","0","0","0","0","0"
"AA","01/22/2023","2748","N454AL","SEA","DFW","191","0","0","0","0","0"
"AA","01/22/2023","2767","N923US","SEA","DFW","198","0","0","0","0","0"
"AA","01/22/2023","2769","N986AN","SEA","DFW","200","0","0","0","0","0"
"AA","01/23/2023","1470","N130AN","SEA","DFW","195","0","0","0","0","0"
"AA","01/23/2023","1667","N143AN","SEA","DFW","196","0","0","0","0","0"
"AA","01/23/2023","2748","N421UW","SEA","DFW","195","0","0","0","0","0"
"AA","01/23/2023","2767","N507AY","SEA","DFW","198","49","0","9","0","0"
"AA","01/23/2023","2769","N930AU","SEA","DFW","202","0","0","16","0","0"
"AA","01/24/2023","1470","N150NN","SEA","DFW","197","0","0","0","0","0"
"AA","01/24/2023","1667","N121AN","SEA","DFW","197","0","0","0","0","0"
"AA","01/24/2023","2748","N424AN","SEA","DFW","194","0","0","0","0","0"
"AA","01/24/2023","2767","N930AU","SEA","DFW","199","0","0","2","0","19"
"AA","01/24/2023","2769","N124AA","SEA","DFW","201","0","0","0","0","0"
"AA","01/25/2023","1470","N123NN","SEA","DFW","195","0","0","0","0","0"
"AA","01/25/2023","1667","N166NN","SEA","DFW","196","0","0","0","0","0"
"AA","01/25/2023","2748","N447AN","SEA","DFW","190","0","0","0","0","0"
"AA","01/25/2023","2767","N536UW","SEA","DFW","196","0","0","0","0","0"
"AA","01/25/2023","2769","N986AN","SEA","DFW","198","0","0","0","0","0"
"AA","01/26/2023","1470","N165NN","SEA","DFW","195","0","0","0","0","0"
"AA","01/26/2023","1667","N163AA","SEA","DFW","194","0","0","0","0","0"
"AA","01/26/2023","1992","N126AN","SEA","DFW","194","22","0","0","0","0"
"AA","01/26/2023","2748","N466AN","SEA","DFW","196","0","0","0","0","0"
"AA","01/26/2023","2767","N546UW","SEA","DFW","192","0","0","0","0","0"
"AA","01/26/2023","2769","N906AA","SEA","DFW","187","0","0","0","0","0"
"AA","01/27/2023","1470","N139AN","SEA","DFW","190","0","0","0","0","0"
"AA","01/27/2023","1667","N906AA","SEA","DFW","182","0","0","0","0","0"
"AA","01/27/2023","1992","N131NN","SEA","DFW","184","0","0","0","0","0"
"AA","01/27/2023","2748","N464AA","SEA","DFW","185","0","0","0","0","0"
"AA","01/27/2023","2767","N915US","SEA","DFW","184","110","0","0","0","491"
"AA","01/27/2023","2769","N127AA","SEA","DFW","188","0","0","0","0","0"
"AA","01/28/2023","1470","N166NN","SEA","DFW","192","0","0","0","0","0"
"AA","01/28/2023","1667","N127AA","SEA","DFW","187","0","0","0","0","0"
"AA","01/28/2023","2748","N435AN","SEA","DFW","191","0","0","0","0","0"
"AA","01/28/2023","2767","N183UW","SEA","DFW","194","0","0","0","0","0"
"AA","01/28/2023","2769","N167AN","SEA","DFW","191","0","0","0","0","0"
"AA","01/29/2023","1470","N986AN","SEA","DFW","218","1","0","28","0","0"
"AA","01/29/2023","1667","N910AU","SEA","DFW","206","0","0","0","0","0"
"AA","01/29/2023","1992","N152AA","SEA","DFW","210","0","0","0","0","0"
"AA","01/29/2023","2748","N401AN","SEA","DFW","201","0","0","0","0","0"
"AA","01/29/2023","2767","N118NN","SEA","DFW","202","0","0","0","0","0"
"AA","01/29/2023","2769","N991AU","SEA","DFW","202","0","0","0","0","0"
"AA","01/30/2023","1470","N157AA","SEA","DFW","200","0","0","0","0","0"
"AA","01/30/2023","1667","N139AN","SEA","DFW","0","0","0","0","0","0"
"AA","01/30/2023","2748","N411AN","SEA","DFW","195","0","0","0","0","0"
"AA","01/30/2023","2767","N568UW","SEA","DFW","196","0","0","0","0","0"
"AA","01/30/2023","2769","N166NN","SEA","DFW","0","0","0","0","0","0"
"AA","01/31/2023","1470","N153AN","SEA","DFW","0","0","0","0","0","0"
"AA","01/31/2023","1667","N457AM","SEA","DFW","203","0","108","18","0","0"
"AA","01/31/2023","2748","N449AN","SEA","DFW","0","0","0","0","0","0"
"AA","01/31/2023","2767","N169UW","SEA","DFW","0","0","0","0","0","0"
"AA","01/31/2023","2769","N120EE","SEA","DFW","0","0","0","0","0","0"
"AA","02/01/2023","1470","N996AN","SEA","DFW","0","0","0","0","0","0"
"AA","02/01/2023","1667","N118NN","SEA","DFW","0","0","0","0","0","0"
"AA","02/01/2023","2748","N428AA","SEA","DFW","0","0","0","0","0","0"
"AA","02/01/2023","2767","N509AY","SEA","DFW","0","0","0","0","0","0"
"AA","02/01/2023","2769","N932AM","SEA","DFW","0","0","0","0","0","0"
"AA","02/02/2023","1470","N149AN","SEA","DFW","196","0","0","0","0","0"
"AA","02/02/2023","1667","N992AU","SEA","DFW","0","0","0","0","0","0"
"AA","02/02/2023","1992","N139AN","SEA","DFW","207","5","0","11","0","0"
"AA","02/02/2023","2748","N459AN","SEA","DFW","199","0","0","0","0","0"
"AA","02/02/2023","2767","N981UY","SEA","DFW","204","2","0","20","0","0"
"AA","02/02/2023","2769","N559UW","SEA","DFW","203","5","0","0","0","34"
"AA","02/03/2023","0721","N133AN","SEA","DFW","206","6","0","12","0","0"
"AA","02/03/2023","1470","N149AN","SEA","DFW","193","0","0","0","0","0"
"AA","02/03/2023","1667","N437AN","SEA","DFW","202","239","0","3","0","0"
"AA","02/03/2023","1992","N122NN","SEA","DFW","197","0","0","0","0","0"
"AA","02/03/2023","2748","N432AN","SEA","DFW","201","0","0","0","0","0"
"AA","02/03/2023","2767","N173US","SEA","DFW","207","4","0","15","0","11"
"AA","02/03/2023","2769","N167AN","SEA","DFW","201","0","0","0","0","0"
"AA","02/04/2023","1470","N990AU","SEA","DFW","190","0","0","0","0","0"
"AA","02/04/2023","1667","N446AN","SEA","DFW","187","0","0","0","0","0"
"AA","02/04/2023","1992","N153AN","SEA","DFW","189","0","0","0","0","15"
"AA","02/04/2023","2748","N902AA","SEA","DFW","184","0","0","0","0","0"
"AA","02/04/2023","2767","N180US","SEA","DFW","188","0","0","0","0","77"
"AA","02/04/2023","2769","N118NN","SEA","DFW","185","0","0","0","0","0"
"AA","02/05/2023","1470","N156AN","SEA","DFW","189","0","0","0","0","0"
"AA","02/05/2023","1667","N415AN","SEA","DFW","190","0","0","0","0","0"
"AA","02/05/2023","1992","N155NN","SEA","DFW","194","0","0","0","0","0"
"AA","02/05/2023","2748","N120EE","SEA","DFW","190","0","0","0","0","0"
"AA","02/05/2023","2767","N916US","SEA","DFW","194","22","0","0","0","0"
"AA","02/05/2023","2769","N932AM","SEA","DFW","190","0","0","0","0","0"
"AA","02/06/2023","1470","N180US","SEA","DFW","198","3","0","0","0","54"
"AA","02/06/2023","1667","N425AN","SEA","DFW","199","0","0","0","0","0"
"AA","02/06/2023","1992","N166NN","SEA","DFW","197","0","0","0","0","0"
"AA","02/06/2023","2748","N166NN","SEA","DFW","197","0","0","0","0","0"
"AA","02/06/2023","2767","N156UW","SEA","DFW","201","0","0","0","0","0"
"AA","02/06/2023","2769","N992AU","SEA","DFW","195","0","0","0","0","0"
"AA","02/07/2023","1667","N425AN","SEA","DFW","207","0","0","0","0","0"
"AA","02/07/2023","1992","N909AM","SEA","DFW","206","0","0","0","0","0"
"AA","02/07/2023","2748","N152AA","SEA","DFW","220","0","0","0","0","0"
